Lake,Age,Asteraceae,Betulaceae,Boraginaceae,Brassicaceae,Bryaceae,Caprifoliaceae,Caryophyllaceae,Equisetaceae,Ericaceae,Fabaceae,Juncaceae,Orobanchaceae,Papaveraceae,Pinaceae,Plantaginaceae,Poaceae,Polygonaceae,Polytrichaceae,Primulaceae,Ranunculaceae,Rosaceae,Salicaceae,Saxifragaceae
Lele,44.2,1.55047117935005,0.0431285446272616,0.70730813188709,19.3237444202445,0.0258771267763569,0,1.52890690703642,0,0,0,0.0409721173958985,0.081944234791797,1.12781144200289,0,0,0.332089793629914,0.0776313803290708,0.702995277424363,0,0.0646928169408923,65.7473098570289,0.189765596359951,7.82998727707934
Lele,46.6,0.850704225352113,0.11830985915493,1.09295774647887,27.0028169014085,0.0619718309859155,0,1.70704225352113,0,0,0,0.0619718309859155,0.208450704225352,1.14366197183099,0,0,0.743661971830986,0.0957746478873239,1.75774647887324,0,0.0394366197183099,55.8366197183099,0.197183098591549,7.86478873239437
Lele,48.3,0.312398425367474,0.0270865686734804,0.247390660551121,26.5123334176027,0.0162519412040883,0,0.556177543428798,0,0,0,0.0650077648163531,0.0668135360612518,0.359348477734841,0,0,0.218498320632742,0.0704250785510492,0.966087616020802,0,0.0234750261836831,64.1247426775976,0.184188666979667,5.69540250641049
Lele,55.5,2.03322138513207,1.34337841517655,0.0726150494690024,61.5866388308977,0.0771534900608151,0,2.10129799400926,0,0,0,0.0408459653263139,0.163383861305256,0.898611237178905,0,0,0.576381955160207,0.0907688118362531,0.399382772079513,0,0.0181537623672506,24.5620404828901,0.0907688118362531,4.92420804211673
Lele,58.2,1.41179575141839,0.422219290143818,0.118749175352949,75.5772529357435,0.039583058450983,0,1.99234727536614,0,0,0,0.039583058450983,0.105554822535955,2.48053832959493,0,0,0.910410344372609,0.0527774112679773,0.501385407045784,0,0.039583058450983,11.703390948674,0.0527774112679773,3.21942208734662
Lama,0.08,12.1345029239766,39.4005847953216,0.219298245614035,4.45906432748538,0,0,3.14327485380117,0,6.0672514619883,0,0,0.584795321637427,0,0,0,1.0233918128655,0,1.38888888888889,0,0,18.4210526315789,0.292397660818713,4.82456140350877
Lama,0.26,8.76369327073552,41.0015649452269,0.312989045383412,4.38184663536776,0,0,2.8169014084507,0,4.38184663536776,0,0,0.782472613458529,0,0,0,1.09546165884194,0.156494522691706,1.25195618153365,0,0,18.7793427230047,0.312989045383412,3.75586854460094
Lama,0.72,9.39490445859873,46.1783439490446,0.477707006369427,3.02547770700637,0,0,1.7515923566879,0,3.82165605095541,0,0,0.159235668789809,0,0,0,0.955414012738854,0.318471337579618,1.43312101910828,0,0,19.5859872611465,0.159235668789809,2.38853503184713
Lama,1.21,6.05226960110041,58.4594222833563,0,2.88858321870702,0,0,1.10041265474553,0,5.08940852819807,0,0,0.137551581843191,0,0,0,1.10041265474553,0,0.825309491059147,0,0,11.6918844566713,0.275103163686382,1.78817056396149
Lama,1.86,3.1390134529148,62.780269058296,0.224215246636771,2.54110612855007,0,0,0.971599402092676,0,5.00747384155456,0,0,0.149476831091181,0,0,0,0.523168908819133,0.149476831091181,0.373692077727952,0,0,10.6128550074738,0.298953662182362,1.34529147982063
Lama,2.5,3.74429223744292,63.7442922374429,0,1.82648401826484,0,0,0.547945205479452,0,3.10502283105023,0.091324200913242,0,0.091324200913242,0,0,0,0.365296803652968,0.273972602739726,0.182648401826484,0,0,12.4200913242009,0.365296803652968,1.27853881278539
Lama,3.02,4.68384074941452,65.9640905542545,0,1.95160031225605,0,0,0.78064012490242,0,3.12256049960968,0,0,0.39032006245121,0,0,0,0.468384074941452,0.078064012490242,0.39032006245121,0,0,10.3044496487119,0.234192037470726,0.936768149882904
Lama,4.38,2.1094264996704,76.2030323005933,0,1.6479894528675,0,0,0.1977587343441,0,1.318391562294,0.0659195781147001,0,0.1318391562294,0,0,0,0.1977587343441,0.0659195781147001,0.1977587343441,0,0,5.40540540540541,0.3295978905735,0.4614370468029
Lama,5.17,2.09455415918612,76.1819269898265,0.0598444045481747,1.91502094554159,0,0,0.119688809096349,0,2.15439856373429,0,0,0.179533213644524,0,0,0,0.179533213644524,0,0.299222022740874,0,0,6.58288450029922,0,0.658288450029922
Lama,6.4,3.12944523470839,72.5462304409673,0,1.46989094357515,0,0,0.0948316737790422,0,1.32764343290659,0,0,0.0948316737790422,0,0,0,0.284495021337127,0.0474158368895211,0.237079184447606,0,0,6.0692271218587,0.379326695116169,0.42674253200569
Lama,6.89,3.15275310834814,69.49378330373,0.177619893428064,1.46536412078153,0,0,0.177619893428064,0,1.19893428063943,0,0,0.177619893428064,0,0,0,0.22202486678508,0.088809946714032,0.44404973357016,0,0,8.96980461811723,0.532859680284192,0.710479573712256
Lama,7.56,2.80950205573321,66.2174508908177,0.0228414801279123,1.41617176793056,0,0,0.342622201918684,0,1.39333028780265,0,0,0.114207400639561,0,0,0,0.29693924166286,0.0685244403837369,0.433988122430333,0,0,11.9460941068981,0.479671082686158,0.753768844221105
