Lake,Age,Asteraceae,Betulaceae,Brassicaceae,Caryophyllaceae,Chenopodiaceae,Cyperaceae,Dryopteridaceae,Ericaceae,Fabaceae,Lentibulariaceae,Onagraceae,Orchidaceae,Orobanchaceae,Papaveraceae,Pinaceae,Plantaginaceae,Poaceae,Polygonaceae,Ranunculaceae,Rosaceae,Salicaceae,Saxifragaceae,Lycopodiaceae,Apiaceae,Equisetaceae,Athyriaceae,Grossulariaceae,Polygalaceae
Salmon,26.866,0.785780377,0.002472118,1.279144506,0,0,1.580742907,0,0.051914479,0.607434718,0,0.046263923,0,1.059126,20.40733442,0,0.116189548,1.282676103,1.029107424,0.158215555,9.824197091,54.93293497,6.14250701,0.00035316,0,0,0,0,0
Salmon,28.725,0.660796157,0.003638745,1.095262354,0,0,2.949566989,0,0.222691216,0.346408558,0,0.056036679,0,0.828178444,13.64311186,0,0.145549814,1.14474929,0.676806637,0.152827305,21.07124663,51.78516847,4.37668292,0.001455498,0,0,0,0,0
Salmon,29.491,0.491230859,0.001986778,0.519542445,0,0,8.348441124,0,0.373017568,0.404309321,0,0.046192588,0,1.097694841,8.206883192,0,0.073510786,0.616397872,0.820539311,0.069040535,23.84928302,51.68900964,2.856490059,0,0,0,0,0,0
Lele,0.9,0.907537604,1.156507144,1.863231584,0.39268454,0,5.375630504,0,1.874004822,3.05959971,0,0.303374394,0,0.500955586,5.355700013,0,0,1.119985866,0.885237,0,48.89671265,22.7416599,4.151898352,0,0,0,0,0,0
Lele,2.9,0.7955541,0.997686497,1.672596129,0.272393306,0,5.121960422,0,1.931001671,2.886126714,0,0.413329235,0,0.766474274,5.457298668,0,0,0.89829975,1.032839958,0,50.20834407,22.41355194,3.728613444,0,0,0,0,0,0
Lele,4.5,0.64636284,1.778410751,1.357776655,0.236993518,0,5.058935813,0,2.954589343,3.418611388,0,0.388387132,0,1.117317053,3.991815089,0,0,0.87444357,1.451113356,0,50.43982135,22.29651609,2.699027516,0,0,0,0,0,0
Lele,5.6,0.721700272,2.565688315,0.760358688,0.189068116,0,2.70278336,0,2.241453483,3.43325294,0,0.531576166,0,1.035375205,4.843688233,0,0,0.657422622,1.315488021,0,49.36330692,25.45394943,2.961409076,0,0,0,0,0,0
Lele,6.2,0.662762605,3.987098706,0.701219673,0.149666873,0,2.676592799,0,2.096532024,3.327301696,0,0.463637264,0,0.710546947,4.007618709,0,0,0.716047647,1.510827052,0,51.4242269,24.11162499,2.260548549,0,0,0,0,0,0
Lele,6.8,0.743073171,7.047350661,0.711334122,0.135724171,0,2.529022771,0,3.247689177,3.213232568,0,0.667084043,0,0.82147221,4.728502948,0,0,0.849263105,1.532857607,0,45.9003558,24.70390134,2.049399086,0,0,0,0,0,0
Lele,8.6,0.609576595,4.805028676,0.882888015,0.107323179,0,2.216459256,0,2.508249113,3.343961522,0,0.588874393,0,0.371580695,3.868029023,0,0,0.856043984,0.624719382,0,49.20177393,27.54044077,1.395095431,0,0,0,0,0,0
