species,tas_score,habitat_label,total_n,r_terr,r_aqua,r_anim,r_plant,tas_score_raw
Streptococcus gordonii,0.8337012509197939,Terrestrial Specialist,9999,1,0,0,0,0.8337012509197939
Bifidobacterium breve,0.8558633617996251,Terrestrial Specialist,9999,1,0,0,0,0.8558633617996251
Sutterella wadsworthensis,0.7895114942528736,Mostly Terrestrial,9999,1,0,0,0,0.7895114942528736
Parabacteroides goldsteinii,0.8160959499391622,Terrestrial Specialist,9999,1,0,0,0,0.8160959499391622
Akkermansia muciniphila,0.7953386744355427,Mostly Terrestrial,9999,1,0,0,0,0.7953386744355427
Sphingobium yanoikuyae,0.2546397694524496,Mostly Terrestrial,9999,1,0,0,0,0.2546397694524496
Sphingobium scionense,0.2546397694524496,Mostly Terrestrial,9999,1,0,0,0,0.2546397694524496
Abiotrophia defectiva,0.8363106088224571,Terrestrial Specialist,9999,1,0,0,0,0.8363106088224571
Phocaeicola dorei,0.7983018540980766,Mostly Terrestrial,9999,1,0,0,0,0.7983018540980766
Haemophilus parainfluenzae,0.8207661639798924,Terrestrial Specialist,9999,1,0,0,0,0.8207661639798924
Anaerotignum faecicola,0.8867319679430098,Terrestrial Specialist,9999,1,0,0,0,0.8867319679430098
Phocaeicola sartorii,0.8541768840935099,Terrestrial Specialist,9999,1,0,0,0,0.8541768840935099
Desulfovibrio piger,0.7606951871657753,Mostly Terrestrial,9999,1,0,0,0,0.7606951871657753
Actinomyces graevenitzii,0.8869565217391304,Terrestrial Specialist,9999,1,0,0,0,0.8869565217391304
Streptococcus mutans,0.7919583916783356,Mostly Terrestrial,9999,1,0,0,0,0.7919583916783356
Aerococcus viridans,0.49515816655907036,Mostly Terrestrial,9999,1,0,0,0,0.49515816655907036
Aerococcus urinaeequi,0.49515816655907036,Mostly Terrestrial,9999,1,0,0,0,0.49515816655907036
Lautropia mirabilis,0.7339637509850276,Mostly Terrestrial,9999,1,0,0,0,0.7339637509850276
Megamonas funiformis,0.5061485489424495,Mostly Terrestrial,9999,1,0,0,0,0.5061485489424495
Methylorubrum populi,0.3880470360043641,Mostly Terrestrial,9999,1,0,0,0,0.3880470360043641
Methylorubrum aminovorans,0.3880470360043641,Mostly Terrestrial,9999,1,0,0,0,0.3880470360043641
Methylorubrum rhodesianum,0.3880470360043641,Mostly Terrestrial,9999,1,0,0,0,0.3880470360043641
Methylorubrum zatmanii,0.3880470360043641,Mostly Terrestrial,9999,1,0,0,0,0.3880470360043641
Methylorubrum extorquens,0.3880470360043641,Mostly Terrestrial,9999,1,0,0,0,0.3880470360043641
Methylorubrum suomiense,0.3880470360043641,Mostly Terrestrial,9999,1,0,0,0,0.3880470360043641
Methylorubrum thiocyanatum,0.3880470360043641,Mostly Terrestrial,9999,1,0,0,0,0.3880470360043641
Lactobacillus iners,0.7153846153846154,Mostly Terrestrial,9999,1,0,0,0,0.7153846153846154
Finegoldia magna,0.8097535757366878,Terrestrial Specialist,9999,1,0,0,0,0.8097535757366878
Bacteroides salyersiae,0.8311050939245218,Terrestrial Specialist,9999,1,0,0,0,0.8311050939245218
Peptostreptococcus stomatis,0.9005971874397997,Terrestrial Specialist,9999,1,0,0,0,0.9005971874397997
Clostridium fessum,0.8975785340314135,Terrestrial Specialist,9999,1,0,0,0,0.8975785340314135
Dorea longicatena,0.7948011705973489,Mostly Terrestrial,9999,1,0,0,0,0.7948011705973489
Adlercreutzia equolifaciens,0.8475987949672161,Terrestrial Specialist,9999,1,0,0,0,0.8475987949672161
Bifidobacterium dentium,0.8639240506329114,Terrestrial Specialist,9999,1,0,0,0,0.8639240506329114
Haemophilus sputorum,0.7843544479058498,Mostly Terrestrial,9999,1,0,0,0,0.7843544479058498
Bacteroides stercoris,0.7508673385098299,Mostly Terrestrial,9999,1,0,0,0,0.7508673385098299
Mucispirillum schaedleri,0.830398966241318,Terrestrial Specialist,9999,1,0,0,0,0.830398966241318
Dialister hominis,0.6721199727334697,Mostly Terrestrial,9999,1,0,0,0,0.6721199727334697
Escherichia coli,0.6747598253275109,Mostly Terrestrial,9999,1,0,0,0,0.6747598253275109
Escherichia fergusonii,0.6747598253275109,Mostly Terrestrial,9999,1,0,0,0,0.6747598253275109
Shigella flexneri,0.6747598253275109,Mostly Terrestrial,9999,1,0,0,0,0.6747598253275109
Shigella sonnei,0.6747598253275109,Mostly Terrestrial,9999,1,0,0,0,0.6747598253275109
Shigella boydii,0.6747598253275109,Mostly Terrestrial,9999,1,0,0,0,0.6747598253275109
Lactobacillus crispatus,0.7794771474301974,Mostly Terrestrial,9999,1,0,0,0,0.7794771474301974
Bifidobacterium adolescentis,0.8191599420649701,Terrestrial Specialist,9999,1,0,0,0,0.8191599420649701
Lactococcus petauri,0.5613370089593385,Mostly Terrestrial,9999,1,0,0,0,0.5613370089593385
Parasutterella excrementihominis,0.8072620891412837,Terrestrial Specialist,9999,1,0,0,0,0.8072620891412837
Prevotella bivia,0.8904458598726115,Terrestrial Specialist,9999,1,0,0,0,0.8904458598726115
Streptococcus intermedius,0.8935212370326875,Terrestrial Specialist,9999,1,0,0,0,0.8935212370326875
Clostridium perfringens,0.4607809847198642,Mostly Terrestrial,9999,1,0,0,0,0.4607809847198642
Acidaminococcus intestini,0.6866185070519436,Mostly Terrestrial,9999,1,0,0,0,0.6866185070519436
Bacteroides fluxus,0.9080176211453744,Terrestrial Specialist,9999,1,0,0,0,0.9080176211453744
Lawsonella clevelandensis,0.5481107541685788,Mostly Terrestrial,9999,1,0,0,0,0.5481107541685788
