species,bacdive_url,isolation_categories,pH_optimum,aquatic_samples,soil_samples,animal_samples,plant_samples,Total_Samples,total_n,r_terr,r_aqua,r_anim,r_plant,tas_score_raw,habitat_label,tas_score
Halobacterium litoreum,https://bacdive.dsmz.de/strain/141038,"#Condition, #Saline, #Environmental, #Aquatic, #Marine, #Environmental, #Terrestrial, #Sediment",7,60,4,2,NA,NA,66,0.06060606060606061,0.9090909090909092,0.0303030303030303,0,-0.8749999990976561,Aquatic Specialist,-0.8749999990976561
Pyrodictium occultum,https://bacdive.dsmz.de/strain/13526,"#Environmental, #Aquatic, #Marine, #Condition, #Sulfuric",NA,44,NA,NA,NA,NA,44,0,1,0,0,-0.999999999,Aquatic Specialist,-0.999999999
Halobellus inordinatus,https://bacdive.dsmz.de/strain/134047,"#Condition, #Saline",8,25,8,NA,NA,NA,33,0.24242424242424243,0.7575757575757576,0,0,-0.51515151463636355,Generalist / Mixed,-0.51515151463636355
Salinirubellus salinus,https://bacdive.dsmz.de/strain/158814,"#Environmental, #Aquatic, #Marine, #Environmental, #Aquatic, #Sediment, #Condition, #Saline",7.5,25,13,NA,NA,NA,38,0.34210526315789475,0.6578947368421053,0,0,-0.31578947336842106,Generalist / Mixed,-0.31578947336842106
Saliphagus infecundisoli,https://bacdive.dsmz.de/strain/141051,"#Condition, #Saline, #Environmental, #Terrestrial, #Soil",7,31,30,4,NA,NA,65,0.4615384615384616,0.47692307692307695,0.06153846153846154,0,-0.01639344260548239,Generalist / Mixed,-0.01639344260548239
Natrinema soli,https://bacdive.dsmz.de/strain/140647,"#Environmental, #Terrestrial, #Soil",7,20,23,1,NA,NA,44,0.5227272727272727,0.4545454545454546,0.02272727272727272,0,0.06976744178907517,Generalist / Mixed,0.06976744178907517
Methanohalobium evestigatum,https://bacdive.dsmz.de/strain/7062,"#Environmental, #Aquatic, #Environmental, #Terrestrial, #Mud (Sludge), #Condition, #Saline",NA,81,2,2,NA,NA,85,0.02352941176470588,0.9529411764705882,0.02352941176470588,0,-0.9518072279409204,Aquatic Specialist,-0.9518072279409204
Natronomonas halophila,https://bacdive.dsmz.de/strain/164425,NA,NA,13,6,NA,NA,NA,19,0.3157894736842105,0.6842105263157895,0,0,-0.3684210522631579,Generalist / Mixed,-0.3684210522631579
Nitrosopumilus zosterae,https://bacdive.dsmz.de/strain/167604,NA,NA,60,2,NA,NA,NA,62,0.03225806451612903,0.967741935483871,0,0,-0.935483870032258,Aquatic Specialist,-0.935483870032258
Natronorubrum texcoconense,https://bacdive.dsmz.de/strain/24071,"#Environmental, #Terrestrial, #Soil, #Condition, #Alkaline, #Condition, #Saline",NA,15,NA,1,NA,NA,16,0,0.9375,0.0625,0,-0.9999999989333334,Aquatic Specialist,-0.9999999989333334
Salinigranum salinum,https://bacdive.dsmz.de/strain/140643,"#Environmental, #Aquatic, #Marine, #Environmental, #Aquatic, #Sediment",7.5,417,53,1,NA,NA,471,0.11252653927813164,0.8853503184713376,0.00212314225053078,0,-0.7744680843302671,Generalist / Mixed,-0.7744680843302671
Halarchaeum rubridurum,https://bacdive.dsmz.de/strain/24088,"#Engineered, #Food production, #Food, #Environmental, #Aquatic, #Marine",5.75,17,1,NA,NA,NA,18,0.05555555555555555,0.9444444444444444,0,0,-0.8888888879999999,Aquatic Specialist,-0.8888888879999999
Salarchaeum japonicum,https://bacdive.dsmz.de/strain/161761,NA,NA,12,NA,NA,NA,NA,12,0,1,0,0,-0.999999999,Aquatic Specialist,-0.999999999
Caldisphaera lagunensis,https://bacdive.dsmz.de/strain/2090,"#Environmental, #Aquatic, #Thermal spring, #Condition, #Acidic, #Condition, #Thermophilic (>45°C)",3.5,248,9,NA,NA,NA,257,0.03501945525291829,0.9649805447470816,0,0,-0.9299610885642022,Aquatic Specialist,-0.9299610885642022
Thermocladium modestius,https://bacdive.dsmz.de/strain/160866,NA,NA,11,NA,NA,NA,NA,11,0,1,0,0,-0.999999999,Aquatic Specialist,-0.999999999
Methanothermobacter tenebrarum,https://bacdive.dsmz.de/strain/23082,"#Environmental, #Aquatic, #Environmental, #Terrestrial, #Geologic",7.3,42,3,NA,1,NA,46,0.06521739130434782,0.9130434782608696,0,0.0217391304347826,-0.8666666657807408,Aquatic Specialist,-0.8666666657807408
Halorubrum cibi,https://bacdive.dsmz.de/strain/5956,"#Engineered, #Food production, #Seafood, #Host, #Arthropoda, #Crustacea, #Engineered, #Food production, #Fermented",NA,48,3,1,NA,NA,52,0.05769230769230769,0.9230769230769232,0.01923076923076923,0,-0.8823529402768167,Aquatic Specialist,-0.8823529402768167
Halorubrum vacuolatum,https://bacdive.dsmz.de/strain/5943,NA,NA,35,1,NA,NA,NA,36,0.02777777777777777,0.9722222222222222,0,0,-0.9444444435,Aquatic Specialist,-0.9444444435
Halomarina oriensis,https://bacdive.dsmz.de/strain/161795,NA,NA,134,47,6,NA,NA,187,0.25133689839572193,0.7165775401069518,0.03208556149732621,0,-0.4806629829288178,Generalist / Mixed,-0.4806629829288178
Natrinema hispanicum,https://bacdive.dsmz.de/strain/5886,"#Environmental, #Aquatic, #Lake (large), #Condition, #Saline",NA,67,5,NA,NA,NA,72,0.06944444444444445,0.9305555555555556,0,0,-0.86111111025,Aquatic Specialist,-0.86111111025
Haloplanus ruber,https://bacdive.dsmz.de/strain/161995,NA,NA,24,2,NA,NA,NA,26,0.07692307692307693,0.9230769230769232,0,0,-0.8461538453076923,Aquatic Specialist,-0.8461538453076923
Salinibaculum litoreum,https://bacdive.dsmz.de/strain/163950,NA,NA,81,4,3,NA,NA,88,0.04545454545454545,0.9204545454545454,0.03409090909090909,0,-0.905882352003322,Aquatic Specialist,-0.905882352003322
Halobacterium jilantaiense,https://bacdive.dsmz.de/strain/161379,NA,NA,7,8,NA,NA,NA,15,0.5333333333333333,0.4666666666666667,0,0,0.06666666659999998,Generalist / Mixed,0.06666666659999998
Methanoregula boonei,https://bacdive.dsmz.de/strain/17856,"#Environmental, #Terrestrial, #Wetland (Swamp), #Condition, #Acidic",5.1,246,120,NA,10,NA,376,0.3191489361702128,0.6542553191489362,0,0.02659574468085106,-0.34426229472829883,Generalist / Mixed,-0.34426229472829883
Halobellus rufus,https://bacdive.dsmz.de/strain/162496,NA,NA,13,5,NA,NA,NA,18,0.2777777777777778,0.7222222222222222,0,0,-0.44444444399999994,Generalist / Mixed,-0.44444444399999994
Thermoplasma acidophilum,https://bacdive.dsmz.de/strain/17017,"#Engineered, #Other, #Mine, #Engineered, #Waste, #Solid waste",NA,38,NA,NA,NA,NA,38,0,1,0,0,-0.999999999,Aquatic Specialist,-0.999999999
Haloprofundus marisrubri,https://bacdive.dsmz.de/strain/133308,"#Environmental, #Aquatic, #Marine, #Condition, #Saline",7,18,7,1,NA,NA,26,0.2692307692307692,0.6923076923076923,0.03846153846153846,0,-0.4399999995424,Generalist / Mixed,-0.4399999995424
Halodesulfurarchaeum formicicum,https://bacdive.dsmz.de/strain/163850,NA,NA,13,3,NA,NA,NA,16,0.1875,0.8125,0,0,-0.624999999375,Generalist / Mixed,-0.624999999375
Thermococcus henrietii,https://bacdive.dsmz.de/strain/166924,NA,NA,25,2,NA,NA,NA,27,0.07407407407407407,0.925925925925926,0,0,-0.8518518509999999,Aquatic Specialist,-0.8518518509999999
Methanolobus bombayensis,https://bacdive.dsmz.de/strain/7080,"#Environmental, #Aquatic, #Marine, #Environmental, #Aquatic, #Sediment",NA,36,2,NA,NA,NA,38,0.05263157894736842,0.9473684210526316,0,0,-0.8947368412105261,Aquatic Specialist,-0.8947368412105261
Ferroplasma acidiphilum,https://bacdive.dsmz.de/strain/5461,"#Engineered, #Industrial, #Plant (Factory), #Environmental, #Aquatic",NA,56,1,1,NA,NA,58,0.01724137931034482,0.9655172413793104,0.01724137931034482,0,-0.9649122797199138,Aquatic Specialist,-0.9649122797199138
Halapricum salinum,https://bacdive.dsmz.de/strain/162591,NA,NA,65,14,NA,NA,NA,79,0.17721518987341772,0.8227848101265823,0,0,-0.645569619607595,Generalist / Mixed,-0.645569619607595
Picrophilus oshimae,https://bacdive.dsmz.de/strain/11900,"#Environmental, #Terrestrial, #Volcanic",NA,38,1,NA,1,NA,40,0.025,0.95,0,0.025,-0.9487179477449048,Aquatic Specialist,-0.9487179477449048
Halarchaeum grantii,https://bacdive.dsmz.de/strain/162559,NA,NA,14,1,NA,NA,NA,15,0.06666666666666667,0.9333333333333332,0,0,-0.8666666658,Aquatic Specialist,-0.8666666658
Halopelagius longus,https://bacdive.dsmz.de/strain/134022,"#Engineered, #Other, #Mine, #Condition, #Saline",7.15,36,8,NA,NA,NA,44,0.18181818181818185,0.8181818181818182,0,0,-0.6363636357272727,Generalist / Mixed,-0.6363636357272727
Acidianus infernus,https://bacdive.dsmz.de/strain/16642,"#Environmental, #Terrestrial, #Mud (Sludge)",NA,13,NA,NA,NA,NA,13,0,1,0,0,-0.999999999,Aquatic Specialist,-0.999999999
Metallosphaera tengchongensis,https://bacdive.dsmz.de/strain/168227,NA,NA,17,NA,NA,NA,NA,17,0,1,0,0,-0.999999999,Aquatic Specialist,-0.999999999
Haloplanus rallus,https://bacdive.dsmz.de/strain/159759,"#Condition, #Saline",7,25,1,NA,NA,NA,26,0.03846153846153846,0.9615384615384616,0,0,-0.9230769221538462,Aquatic Specialist,-0.9230769221538462
Conexivisphaera calida,https://bacdive.dsmz.de/strain/158879,"#Environmental, #Aquatic, #Thermal spring, #Condition, #Thermophilic (>45°C)",NA,24,NA,NA,NA,NA,24,0,1,0,0,-0.999999999,Aquatic Specialist,-0.999999999
Archaeoglobus fulgidus,https://bacdive.dsmz.de/strain/18096,"#Environmental, #Aquatic, #Marine, #Environmental, #Aquatic, #Thermal spring, #Condition, #Thermophilic (>45°C)",NA,91,3,1,NA,NA,95,0.03157894736842105,0.9578947368421052,0.01052631578947368,0,-0.936170211819828,Aquatic Specialist,-0.936170211819828
Halalkalirubrum salinum,https://bacdive.dsmz.de/strain/164649,NA,NA,135,38,3,NA,NA,176,0.2159090909090909,0.7670454545454546,0.01704545454545454,0,-0.5606936410480804,Generalist / Mixed,-0.5606936410480804
Halopelagius inordinatus,https://bacdive.dsmz.de/strain/133592,"#Environmental, #Aquatic, #Marine, #Condition, #Saline, #Engineered, #Industrial, #Industrial production, #Environmental, #Terrestrial, #Coast",6.5,70,116,15,NA,NA,201,0.5771144278606966,0.3482587064676617,0.07462686567164178,0,0.24731182768973295,Generalist / Mixed,0.24731182768973295
